,Unnamed: 0,Attribute,Description,Value,Meaning
5,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,"-1, 0",unknown
6,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,1,< 30 years
7,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,2,30 - 45 years
8,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,3,46 - 60 years
9,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,4,> 60 years
10,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,9,uniformly distributed
33,,ANREDE_KZ,gender,"-1, 0",unknown
34,,ANREDE_KZ,gender,1,male
35,,ANREDE_KZ,gender,2,female
36,,ANZ_HAUSHALTE_AKTIV,number of households in the building,…,numeric value (typically coded from 1-10)
37,,ANZ_HH_TITEL,number of academic title holder in building,…,numeric value (typically coded from 1-10)
38,,ANZ_PERSONEN,number of adult persons in the household,…,numeric value (typically coded from 1-3)
39,,ANZ_TITEL,number of professional title holder in household ,…,numeric value (typically coded from 1-10)
40,,BALLRAUM,distance to next urban centre ,-1,unknown
41,,BALLRAUM,distance to next urban centre ,1,till 10 km
42,,BALLRAUM,distance to next urban centre ,2,10 - 20 km
43,,BALLRAUM,distance to next urban centre ,3,20 - 30 km
44,,BALLRAUM,distance to next urban centre ,4,30 - 40 km
45,,BALLRAUM,distance to next urban centre ,5,40 - 50 km
46,,BALLRAUM,distance to next urban centre ,6,50-100 km
47,,BALLRAUM,distance to next urban centre ,7,more than 100 km 
51,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,-1,unknown
52,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,1,upper class
53,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,2,upper middleclass
54,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,3,established middleclasse
55,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,4,consumption-oriented middleclass 
56,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,5,active middleclass 
57,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,6,low-consumption middleclass
58,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,7,lower middleclass
59,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,8,working class
60,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,9,urban working class
61,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1A,Work-Life-Balance
62,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1B,Wealthy Best Ager
63,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1C,Successful Songwriter
64,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1D,Old Nobility
65,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1E,City Nobility
66,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2A,Cottage Chic
67,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2B,Noble Jogger
68,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2C,Established gourmet
69,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,2D,Fine Management
70,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3A,Career & Family
71,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3B,Powershopping Families
72,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3C,Rural Neighborhood
73,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,3D,Secure Retirement
74,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4A,Family Starter
75,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4B,Family Life
76,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4C,String Trimmer
77,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4D,Empty Nest
78,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,4E,Golden Ager
79,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5A,Younger Employees
80,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5B,Suddenly Family
81,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5C,Family First
82,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5D,Stock Market Junkies
83,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5E,Coffee Rider
84,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,5F,Active Retirement
85,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6A,Jobstarter
86,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6B,Petty Bourgeois
87,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6C,Long-established
88,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6D,Sportgardener
89,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6E,Urban Parents
90,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,6F,Frugal Aging
91,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7A,Journeymen
92,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7B,Mantaplatte
93,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7C,Factory Worker
94,,CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,7D,Rear Window
