,Unnamed: 0,Attribute,Description,Value,Meaning
0,,AGER_TYP,best-ager typology,-1,unknown
5,,ALTERSKATEGORIE_GROB,age classification through prename analysis ,"-1, 0",unknown
11,,ALTER_HH,main age within the household,0,unknown / no main age detectable
33,,ANREDE_KZ,gender,"-1, 0",unknown
40,,BALLRAUM,distance to next urban centre ,-1,unknown
48,,BIP_FLAG,business-flag indicating companies in the building,-1,unknown
51,,CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,-1,unknown
105,,CAMEO_DEUINTL_2015,CAMEO classification 2015 - international typology,-1,unknown
131,,CJT_GESAMTTYP,customer journey typology,0,unknown
138,,D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,0,no transactions known
145,,D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,0,no transactions known
161,,D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,10,no transactions known
162,,D19_BANKEN_DIREKT_RZ,transactional activity based on the product group DIRECT BANKS,0,no transaction known
170,,D19_BANKEN_GROSS_RZ,transactional activity based on the product group BIG BANKS,0,no transaction known
178,,D19_BANKEN_LOKAL_RZ,transactional activity based on the product group LOCAL BANKS,0,no transaction known
195,,D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,10,no transactions known
205,,D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,10,no transactions known
217,,D19_BANKEN_REST_RZ,transactional activity based on the product group FURTHER BANKS,0,no transaction known
225,,D19_BEKLEIDUNG_GEH_RZ,transactional activity based on the product group LUXURY CLOTHING,0,no transaction known
233,,D19_BEKLEIDUNG_REST_RZ,transactional activity based on the product group FURTHER CLOTHING,0,no transaction known
241,,D19_BILDUNG_RZ,transactional activity based on the product group EDUCATION,0,no transaction known
249,,D19_BIO_OEKO_RZ,transactional activity based on the product group ECOLOGICALS,0,no transaction known
257,,D19_BUCH_RZ,transactional activity based on the product group BOOKS and CDS,0,no transaction known
265,,D19_DIGIT_SERV_RZ,transactional activity based on the product group DIGITAL SERVICES,0,no transaction known
